


|02/01/2019|R|2.300,00|2.300,00|2.300,00|2.300,00|2|80|184.000,00|
|03/01/2019|R|2.300,00|2.350,00|2.350,00|2.300,00|11|459|1.066.070,00|
|04/01/2019|R|2.350,00|2.750,00|2.750,00|2.400,00|22|1.354|3.456.250,85|
|07/01/2019|R|2.750,00|3.375,00|3.500,00|3.300,00|16|2.803|9.266.580,00|
|08/01/2019|R|3.375,00|4.050,00|4.050,00|3.490,00|10|523|1.837.460,00|
|09/01/2019|R|4.050,00|4.200,00|4.225,00|4.000,00|7|297|1.222.975,00|
|10/01/2019|R|4.200,00|4.500,00|4.500,00|4.150,00|16|1.339|5.741.311,00|
|11/01/2019|R|4.500,00|6.480,00|6.480,00|5.100,00|9|133|750.240,00|
|14/01/2019|R|6.480,00|8.500,00|8.500,00|7.650,00|20|861|7.020.500,00|
|15/01/2019|R|8.500,00|8.700,00|9.500,00|8.600,00|15|687|6.028.350,00|
|16/01/2019|R|8.700,00|8.700,00|10.000,00|8.700,00|15|1.135|9.882.900,00|
|17/01/2019|R|8.700,00|8.001,00|8.001,00|8.000,00|5|137|1.096.136,00|
|18/01/2019|R|8.001,00|8.000,00|8.000,00|7.500,00|17|2.068|16.500.500,03|
|21/01/2019|R|8.000,00|8.000,00|8.050,00|8.000,00|5|132|1.056.150,00|
|22/01/2019|R|8.000,00|7.500,00|7.900,00|7.500,00|10|246|1.850.500,00|
|23/01/2019|R|7.500,00|7.501,01|7.550,00|7.500,00|5|81|608.201,01|
|24/01/2019|R|7.501,01|7.400,00|7.500,00|7.400,00|8|285|2.132.500,00|
|25/01/2019|R|7.400,00|7.500,00|7.800,00|7.500,00|10|905|6.789.315,00|
|28/01/2019|R|7.500,00|7.600,00|7.700,00|7.000,00|19|988|7.412.650,00|
|29/01/2019|R|7.600,00|7.050,00|7.800,00|7.050,00|13|155|1.167.250,00|
|30/01/2019|R|7.050,00|7.000,00|7.000,00|6.500,00|25|958|6.504.404,00|
|31/01/2019|R|7.000,00|6.500,00|6.900,00|6.500,00|7|353|2.393.250,00|
|01/02/2019|R|6.500,00|5.850,00|6.500,00|5.850,00|19|1.584|9.274.365,00|
|04/02/2019|R|5.850,00|6.000,00|6.000,00|5.800,00|17|1.548|9.050.405,00|
|05/02/2019|R|6.000,00|7.000,00|7.190,00|6.015,00|23|2.307|15.843.217,03|
|06/02/2019|R|7.000,00|7.000,00|7.200,00|7.000,00|6|104|746.600,00|
|07/02/2019|R|7.000,00|7.100,00|7.590,00|7.100,00|10|119|870.880,00|
|08/02/2019|R|7.100,00|6.900,00|7.300,00|6.900,00|7|175|1.216.300,00|
|11/02/2019|R|6.900,00|6.300,00|7.000,00|6.300,00|9|193|1.247.900,00|
|12/02/2019|R|6.300,00|6.000,00|6.500,00|5.900,00|21|4.645|28.598.499,00|
|13/02/2019|R|6.000,00|5.500,00|6.000,00|5.500,00|22|1.117|6.389.300,00|
|14/02/2019|R|5.500,00|5.881,00|6.000,00|5.800,00|12|49.238|270.868.716,90|
|15/02/2019|R|5.881,00|6.450,00|6.500,00|6.300,00|14|245|1.554.000,00|
|18/02/2019|R|6.450,00|6.506,00|6.600,00|6.450,00|22|917|5.984.760,00|
|19/02/2019|R|6.506,00|6.590,00|6.700,00|6.506,00|23|1.275|8.472.383,30|
|20/02/2019|R|6.590,00|6.490,00|6.600,00|6.450,00|20|2.751|17.795.268,00|
|21/02/2019|R|6.490,00|7.000,00|7.000,00|6.450,00|28|5.257|34.730.690,00|
|22/02/2019|R|7.000,00|9.500,00|9.500,00|7.000,00|20|1.824|14.760.500,00|
|25/02/2019|R|9.500,00|11.000,00|11.305,00|9.200,00|26|1.502|15.629.196,58|
|26/02/2019|R|11.000,00|12.000,00|12.000,00|11.000,00|12|559|6.332.000,00|
|27/02/2019|R|12.000,00|14.400,00|15.000,00|12.400,00|28|2.180|30.902.430,10|
|06/03/2019|R|14.400,00|14.000,00|14.900,00|14.000,00|40|2.864|40.290.300,00|
|07/03/2019|R|14.000,00|13.500,00|14.000,00|13.500,00|19|1.580|21.912.500,00|
|14/03/2019|R|13.500,00|10.890,00|12.000,00|10.500,00|11|295|3.229.815,00|
|15/03/2019|R|10.890,00|11.550,01|12.000,00|10.900,00|12|2.017|23.052.500,90|
|18/03/2019|R|11.550,01|12.000,00|12.000,00|11.500,00|16|786|9.150.850,14|
|20/03/2019|R|12.000,00|13.100,00|13.500,00|12.100,00|16|815|10.708.900,00|
|21/03/2019|R|13.100,00|13.700,00|14.400,00|13.250,00|17|937|12.649.650,00|
|22/03/2019|R|13.700,00|13.500,00|13.700,01|13.500,00|9|803|10.919.303,88|
|25/03/2019|R|13.500,00|13.800,00|13.900,00|13.500,00|15|2.860|39.641.340,00|
|29/03/2019|R|13.800,00|13.000,00|13.900,00|12.000,00|20|2.584|33.906.350,00|
|01/04/2019|R|13.000,00|12.250,00|12.500,00|12.000,00|7|88|1.077.800,00|
|02/04/2019|R|12.250,00|12.000,00|12.200,00|11.500,00|22|9.375|109.921.500,00|
|03/04/2019|R|12.000,00|12.600,00|12.650,00|12.500,00|20|744|9.353.200,00|
|04/04/2019|R|12.600,00|12.600,00|12.750,00|12.600,00|8|636|8.025.750,00|
|05/04/2019|R|12.600,00|12.800,00|13.000,00|12.650,00|8|741|9.397.700,00|
|08/04/2019|R|12.800,00|12.700,00|12.950,00|12.600,00|12|329|4.183.500,00|
