
|13/07/2015|R|1,00|1,00|0,00|0,00|1|400.000|400.000,00|
|07/04/2020|R|6.900,00|6.900,00|6.900,00|6.900,00|13|5.000|34.500.000,00|
|08/04/2020|R|6.900,00|12.962,00|12.962,00|9.002,00|10|643|7.218.468,00|
|13/04/2020|R|12.962,00|22.398,00|22.398,00|15.500,00|6|228|3.904.254,00|
|14/04/2020|R|22.398,00|32.253,00|32.253,00|26.877,60|14|343|10.229.592,00|
|15/04/2020|R|32.253,00|32.253,00|36.000,00|32.253,00|10|395|13.051.915,10|
|16/04/2020|R|32.253,00|38.700,00|38.700,00|37.600,00|8|747|28.350.100,00|
|16/04/2020|P||38.700,00|38.700,00|37.600,00|3|208|6.726.805,00|
|17/04/2020|R|38.700,00|55.725,00|55.725,00|46.441,00|6|135|6.501.635,00|
|17/04/2020|P||55.725,00|55.725,00|46.441,00|2|100|4.275.000,00|



